"ID";"ModesOfTravel";"Population";"Margins";"RegionCharacteristics";"Periods";"TransportPerformance_1"
"153";"T001093";"A048710";"MOG0095";"PV23    ";"2021JJ00";"    10.8"
"154";"T001093";"A048710";"MOG0095";"PV23    ";"2022JJ00";"    12.3"
"155";"T001093";"A048710";"MOG0095";"PV24    ";"2018JJ00";"     5.5"
"156";"T001093";"A048710";"MOG0095";"PV24    ";"2019JJ00";"     5.4"
"157";"T001093";"A048710";"MOG0095";"PV24    ";"2020JJ00";"     3.9"
"158";"T001093";"A048710";"MOG0095";"PV24    ";"2021JJ00";"     4.4"
"159";"T001093";"A048710";"MOG0095";"PV24    ";"2022JJ00";"     4.8"
"160";"T001093";"A048710";"MOG0095";"PV25    ";"2018JJ00";"    26.4"
"161";"T001093";"A048710";"MOG0095";"PV25    ";"2019JJ00";"    26.4"
"162";"T001093";"A048710";"MOG0095";"PV25    ";"2020JJ00";"    19.0"
"163";"T001093";"A048710";"MOG0095";"PV25    ";"2021JJ00";"    20.9"
"164";"T001093";"A048710";"MOG0095";"PV25    ";"2022JJ00";"    23.2"
"165";"T001093";"A048710";"MOG0095";"PV26    ";"2018JJ00";"    15.8"
"166";"T001093";"A048710";"MOG0095";"PV26    ";"2019JJ00";"    17.6"
"167";"T001093";"A048710";"MOG0095";"PV26    ";"2020JJ00";"    12.0"
"168";"T001093";"A048710";"MOG0095";"PV26    ";"2021JJ00";"    13.0"
"169";"T001093";"A048710";"MOG0095";"PV26    ";"2022JJ00";"    14.5"
"170";"T001093";"A048710";"MOG0095";"PV27    ";"2018JJ00";"    33.7"
"171";"T001093";"A048710";"MOG0095";"PV27    ";"2019JJ00";"    31.6"
"172";"T001093";"A048710";"MOG0095";"PV27    ";"2020JJ00";"    21.6"
"173";"T001093";"A048710";"MOG0095";"PV27    ";"2021JJ00";"    24.3"
"174";"T001093";"A048710";"MOG0095";"PV27    ";"2022JJ00";"    27.0"
"175";"T001093";"A048710";"MOG0095";"PV28    ";"2018JJ00";"    40.5"
"176";"T001093";"A048710";"MOG0095";"PV28    ";"2019JJ00";"    41.1"
"177";"T001093";"A048710";"MOG0095";"PV28    ";"2020JJ00";"    28.2"
"178";"T001093";"A048710";"MOG0095";"PV28    ";"2021JJ00";"    31.6"
"179";"T001093";"A048710";"MOG0095";"PV28    ";"2022JJ00";"    33.8"
"180";"T001093";"A048710";"MOG0095";"PV29    ";"2018JJ00";"     3.9"
"181";"T001093";"A048710";"MOG0095";"PV29    ";"2019JJ00";"     4.3"
"182";"T001093";"A048710";"MOG0095";"PV29    ";"2020JJ00";"     3.2"
"183";"T001093";"A048710";"MOG0095";"PV29    ";"2021JJ00";"     3.8"
"184";"T001093";"A048710";"MOG0095";"PV29    ";"2022JJ00";"     3.9"
"185";"T001093";"A048710";"MOG0095";"PV30    ";"2018JJ00";"    30.8"
"186";"T001093";"A048710";"MOG0095";"PV30    ";"2019JJ00";"    30.4"
"187";"T001093";"A048710";"MOG0095";"PV30    ";"2020JJ00";"    21.1"
"188";"T001093";"A048710";"MOG0095";"PV30    ";"2021JJ00";"    23.0"
"189";"T001093";"A048710";"MOG0095";"PV30    ";"2022JJ00";"    26.8"
"190";"T001093";"A048710";"MOG0095";"PV31    ";"2018JJ00";"    12.0"
"191";"T001093";"A048710";"MOG0095";"PV31    ";"2019JJ00";"    11.5"
"192";"T001093";"A048710";"MOG0095";"PV31    ";"2020JJ00";"     8.7"
"193";"T001093";"A048710";"MOG0095";"PV31    ";"2021JJ00";"     9.1"
"194";"T001093";"A048710";"MOG0095";"PV31    ";"2022JJ00";"    10.4"
"195";"T001093";"A048710";"MOG0095";"1018850 ";"2018JJ00";"    45.0"
"196";"T001093";"A048710";"MOG0095";"1018850 ";"2019JJ00";"    44.4"
